id,name,batch,date_announced,link,description,type,career_stage,personal_links,personal_info,mr_posts,project_links,embedding_description
1,Anonymous,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,Anonymous grant for writing in Eastern Europe. ,Writing (Online),,-,-,-,-,"[-0.05316225811839104, 0.08313878625631332, -0.00018966090283356607, 0.029982203617691994, -0.11777728796005249, 0.019887089729309082, 0.007722471375018358, -0.027110924944281578, 0.07039529085159302, -0.003361940151080489, 0.006016523577272892, 0.011700359173119068, -0.04107976704835892, -0.0069641415029764175, -0.08919838070869446, 0.01465602032840252, -0.003962734714150429, -0.015838315710425377, 0.0224508848041296, -0.08203500509262085, 0.0037142466753721237, -0.04324991628527641, 0.05899316817522049, -0.024558844044804573, 0.10155512392520905, -0.07312923669815063, -0.0006058455328457057, -0.09979511797428131, 0.03173752874135971, 0.03935655206441879, 0.02100370079278946, 0.016361279413104057, -0.04683499038219452, -0.07715129852294922, 0.09193926304578781, -0.012768248096108437, 0.04177116975188255, 0.02561846934258938, 0.026582185178995132, 0.02277950569987297, 0.0014701863983646035, -0.06307584792375565, 0.016462313011288643, 0.07286723703145981, 0.02060871571302414, 0.03235793858766556, -0.017459414899349213, 0.07907337695360184, -0.10782703012228012, -0.005164111033082008, 0.11194279044866562, -0.04118793085217476, 0.045967377722263336, -0.06946422159671783, -0.07443849742412567, -0.061783868819475174, 0.027307143434882164, 0.03906272351741791, -0.08981910347938538, -0.018410101532936096, 0.0027298727072775364, -0.00989987701177597, -0.0718868225812912, 0.028897447511553764, -0.015317651443183422, 0.022083671763539314, 0.019336238503456116, 0.056206949055194855, -0.04642727971076965, -0.09142708033323288, 0.045675795525312424, -0.05261169373989105, -0.03021814301609993, -0.015686510130763054, 0.07777045667171478, 0.031028209254145622, -0.08937656879425049, -0.014989493414759636, 0.0008946856250986457, -0.03367878496646881, 0.08074236661195755, 0.08474404364824295, -0.01684221439063549, 0.006964857690036297, 0.011408577673137188, 0.01866963878273964, 0.0777374804019928, -0.004903722554445267, 0.10468858480453491, 0.040150873363018036, -0.024575471878051758, -0.07491384446620941, 0.04845096543431282, 0.006734651047736406, -0.039556194096803665, -0.03609643876552582, 0.08850691467523575, 0.01721748523414135, -0.0757954865694046, 0.08667778223752975, -0.006581064313650131, 0.021212706342339516, 0.00897908303886652, -0.012902474962174892, 0.01436907984316349, 0.08434174954891205, 0.013827892951667309, -0.05308879539370537, 0.0021949843503534794, -0.03158232197165489, -0.06474601477384567, -0.02335570566356182, 0.011023220606148243, 0.014556881971657276, 0.0088233333081007, 0.0267314612865448, 0.03567914292216301, -0.04086528345942497, 0.10177414864301682, 0.020093576982617378, 0.015455280430614948, 0.03586767241358757, -0.023740116506814957, 0.011085250414907932, 0.03634544089436531, -0.020954757928848267, -0.015605850145220757, -3.0636676003321038e-33, 0.054828543215990067, 0.07042744010686874, 0.006803611759096384, 0.0814795196056366, -0.013282714411616325, 0.01960669830441475, 0.05316431447863579, -0.027889447286725044, -0.1283935010433197, -0.045722782611846924, 0.012955941259860992, 0.03590407222509384, 0.08658987283706665, 0.03608427941799164, -0.057561784982681274, 0.023909514769911766, 0.08858685195446014, 0.05005738139152527, 0.09633000195026398, 0.02066947892308235, 0.17788805067539215, 0.013499822467565536, 0.06869424134492874, 0.026711678132414818, 0.05542130395770073, -0.0025086079258471727, -0.06037900969386101, -0.09234688431024551, 0.08145996928215027, 0.020142992958426476, 0.019798221066594124, -0.02100980095565319, 0.007908576168119907, -0.09879976511001587, -0.050852321088314056, 0.010197198018431664, -0.008195512928068638, -0.08693356066942215, 0.03707730397582054, -0.024562716484069824, -0.01635577902197838, -0.020985819399356842, 0.06312394142150879, -0.050149332731962204, 0.037913937121629715, 0.03378016874194145, 0.058697789907455444, 0.018897898495197296, 0.022678058594465256, 0.027195841073989868, -0.07751785963773727, -0.005060265306383371, -0.09225218743085861, -0.0007088698912411928, 0.006746804341673851, 0.02367396466434002, 0.006144958082586527, 0.04327934980392456, 0.005884088575839996, -0.06531237810850143, 0.052408233284950256, 0.1240137368440628, -0.06415346264839172, 0.01144231203943491, -0.024695806205272675, -0.05784164369106293, -0.04034830257296562, -0.008121967315673828, 0.027200227603316307, -0.08592937141656876, -0.00565750990062952, -0.010012456215918064, 0.014316453598439693, 0.050105031579732895, -0.08316447585821152, -0.00039441382978111506, 0.03452793508768082, -0.00172640650998801, 0.020998798310756683, 0.013212667778134346, -0.025236744433641434, 0.01175273209810257, -0.039614953100681305, 0.04614284634590149, -0.0051101925782859325, 0.041051898151636124, 0.02028782106935978, -0.006419147830456495, 0.006186679936945438, -0.05762159451842308, -0.06587402522563934, -0.01948370970785618, 0.030458588153123856, -0.07993413507938385, -0.055491622537374496, 1.3777280519766847e-33, -0.012114186771214008, -0.03318815678358078, -0.03827299922704697, 0.013991695828735828, 0.05266766995191574, 0.038062628358602524, -0.04072648659348488, -0.014366346411406994, 0.08609049767255783, 0.09433642029762268, -0.06146480143070221, 0.004832669626921415, 0.08075784891843796, 0.008112486451864243, 0.02445627935230732, -0.05968950688838959, 0.007235776167362928, 0.07248993217945099, -0.011268277652561665, 0.01421644538640976, -0.016851989552378654, 0.06347224861383438, 0.012824510224163532, 0.008688081987202168, 0.10879300534725189, -0.03178565949201584, -0.015711374580860138, 0.0086137680336833, -0.1419345587491989, 0.03749323636293411, -0.07680200040340424, 0.04182744771242142, -0.05290308967232704, -0.033680178225040436, -0.1174694150686264, -0.008843963034451008, 0.04986505210399628, -0.018741613253951073, -0.08072024583816528, 0.035721927881240845, -0.00878844503313303, 0.002648530527949333, 0.061064232140779495, 0.016483977437019348, -0.020260797813534737, 0.0035827297251671553, -0.09765271097421646, -0.01304652076214552, 0.04723436012864113, -0.03290754556655884, -0.013891568407416344, -0.017986886203289032, 0.045309584587812424, 0.031402070075273514, 0.021867962554097176, -0.0025916211307048798, 8.453552436549217e-05, -0.08578145503997803, 0.07344792038202286, 0.04243221506476402, 0.0515744574368, 0.07618826627731323, -0.07539205998182297, 0.07206468284130096, 0.008780824020504951, -0.17225392162799835, -0.017180461436510086, 0.02717299945652485, -0.05895502120256424, -0.007084710989147425, 0.12543481588363647, -0.027946529909968376, 0.024761270731687546, 0.005776604171842337, 0.0737529918551445, 0.09149840474128723, 0.04299545660614967, 0.0506637878715992, -0.03708448261022568, -0.024091824889183044, 0.020851051434874535, -0.06204614043235779, -0.024999871850013733, 0.033851973712444305, 0.0680118128657341, -0.04710959270596504, 0.022593433037400246, -0.0713176503777504, 0.06496934592723846, 0.018431155011057854, -0.08059844374656677, -0.018756771460175514, 0.07647630572319031, 0.02840501070022583, 0.03940945491194725, -1.605202548660145e-08, 0.03271029517054558, -0.024640975520014763, -0.03845332935452461, 0.0269553791731596, -0.077288419008255, -0.03322790935635567, -0.04281020164489746, -0.03603615239262581, -0.0912141352891922, -0.008469076827168465, -0.00820044707506895, -0.037266384810209274, -0.00894590001553297, -0.07567836344242096, -0.05254228785634041, -0.03756513074040413, 0.008865292184054852, -0.0016580785159021616, -0.023600395768880844, 0.018087545409798622, 0.027777455747127533, 0.04268019646406174, -0.06654110550880432, -0.09231283515691757, -0.05753038451075554, 0.018060171976685524, 0.056555334478616714, -0.028966320678591728, -0.01932162418961525, -0.04961572587490082, 0.012170867063105106, 0.039084967225790024, 0.07441911101341248, 0.010068467818200588, -0.054563019424676895, 0.04911080002784729, -0.03795446828007698, 0.0862012431025505, -0.08521280437707901, 0.04462037980556488, -0.03059408627450466, 0.02639835514128208, 0.04148602858185768, -0.053687699139118195, -0.02530490793287754, 0.013912917114794254, -2.0580544514814392e-05, -0.12111474573612213, 0.025308500975370407, -0.004541260190308094, 0.004536979366093874, -0.0025151721201837063, 0.03316715732216835, 0.03723954036831856, 0.07747763395309448, 0.002907205605879426, 0.03221245855093002, -0.005880952812731266, -0.008378952741622925, 0.018064100295305252, 0.044264573603868484, -0.029111620038747787, -0.05182778090238571, -0.04559415951371193]"
2,Topos House,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Pledged grant to San Francisco’s Topos House, conditional on finding a “social science prodigy” to live in the house for a while and interact with the other Topos fellows.",Non profit,,-,-,-,retreat.topos.house/,"[0.006562273018062115, 0.014798855409026146, -0.013638866133987904, -0.015678290277719498, 0.026407280936837196, -0.03893503546714783, 0.0012512631947174668, 0.014690681360661983, -0.057302962988615036, 0.029718473553657532, -0.05675775557756424, -0.012793035246431828, -0.0116197494789958, -0.017867226153612137, -0.00925559550523758, 0.03640832379460335, -0.021068010479211807, -0.039744410663843155, 0.1105227842926979, -0.026964103803038597, -0.006125387270003557, -0.015163078904151917, -0.07942517101764679, 0.016439873725175858, 0.0629630908370018, 0.019556159153580666, 0.01372622512280941, -0.002999803051352501, 0.001030607963912189, 0.0937640443444252, 0.051056329160928726, 0.06414958089590073, 0.0099535146728158, 0.010915439575910568, 0.03413545712828636, 0.09125994890928268, 0.08073125779628754, 0.0052277762442827225, 0.006416385527700186, -0.026338912546634674, -0.014550403691828251, -0.03592008352279663, 0.055394478142261505, 0.0436863899230957, -0.052060239017009735, 0.014514443464577198, -0.005430839490145445, -0.0703829899430275, 0.0067905583418905735, -0.09021482616662979, -0.06679008156061172, -0.06970568001270294, 0.05712009593844414, 0.02266988530755043, -0.01566503942012787, 0.15229548513889313, 0.0685238316655159, -0.0278304573148489, -0.025261037051677704, -0.018396824598312378, -0.029367871582508087, -0.10006891936063766, -0.007683775387704372, 0.03699705749750137, 0.12480758130550385, 0.038945719599723816, -0.01958618499338627, 0.10651712864637375, 0.04507994279265404, -0.05597088113427162, 0.09492117911577225, 0.034730371087789536, 0.02060619182884693, -0.02156522497534752, 0.09689707309007645, -6.9761172198923305e-06, 0.03044092282652855, -0.004876393359154463, 0.10532721877098083, -0.056964777410030365, -0.008212270215153694, 0.019146889448165894, -0.039128873497247696, -0.03450872004032135, -0.037878282368183136, 0.054246559739112854, -0.019728174433112144, -0.03129415586590767, -0.02678046002984047, 0.09105673432350159, 0.011115207336843014, -0.08625198155641556, -0.006792300846427679, -0.12584811449050903, -0.07065308839082718, 0.008629758842289448, -0.04706915095448494, -0.07029106467962265, -0.09368967264890671, 0.043643537908792496, -0.103343166410923, 0.02141566202044487, 0.029134314507246017, -0.022937849164009094, 0.02765575610101223, 0.052194077521562576, 0.07633289694786072, -0.002603652188554406, 0.0893460065126419, 0.03495205566287041, -0.06470543891191483, -0.04656887426972389, 0.05170483514666557, 0.06301642209291458, -0.01700335182249546, 0.024117378517985344, 0.062270306050777435, 0.0036782464012503624, 0.04477117955684662, -0.10050971806049347, 0.0384591706097126, -0.011090267449617386, -0.016150040552020073, -0.12994883954524994, 0.006837284192442894, -0.023341793566942215, -0.036189671605825424, -3.0179045032286383e-33, 0.0245379488915205, 0.07875747233629227, -0.0031600052025169134, 0.04372940585017204, 0.03194713965058327, -0.02361632138490677, 0.020977633073925972, -0.006164411548525095, -0.09331964701414108, 0.050159014761447906, 0.05204130709171295, 0.049043942242860794, 0.004608602728694677, 0.0714443176984787, -0.0057792579755187035, 0.02824517898261547, -0.015022947452962399, -0.004838583990931511, -0.03226982802152634, 0.0056498609483242035, 0.07145426422357559, 0.01969962567090988, -0.05301326885819435, -0.0007737894775345922, 0.009801831096410751, -0.05832599103450775, 0.0017799930647015572, -0.038140006363391876, 0.0746634379029274, 0.010220409370958805, -0.05749178305268288, 0.13852085173130035, -0.024728085845708847, -0.023625783622264862, 0.04095042124390602, -0.03447385132312775, 0.026374204084277153, -0.05989930406212807, 0.021098311990499496, -0.07809612900018692, 0.04390067607164383, 0.09093509614467621, 0.07613631337881088, 0.03209889680147171, -0.005517567507922649, 0.011968805454671383, 0.11741604655981064, -0.05833260342478752, 0.0613025426864624, 0.019056404009461403, -0.11535804718732834, -0.038715772330760956, -0.06258800625801086, -0.05084604024887085, 0.030597751960158348, -0.04253559932112694, -0.03139403089880943, -0.013156394474208355, 0.024988971650600433, -0.07720883935689926, 0.04531315714120865, -0.007363464683294296, -0.030755771324038506, 0.04319792613387108, -0.03338099271059036, -0.07110550999641418, 0.014749785885214806, 0.00028974690940231085, 0.08993954956531525, -0.009456618689000607, 0.0005044410354457796, 0.010824722237884998, -0.08231543749570847, -0.042201440781354904, -0.10844375193119049, -0.02185629867017269, 0.0012951433891430497, -0.011100294068455696, -0.0030791726894676685, 0.014903306029736996, 0.11281702667474747, -0.02852073684334755, 0.004405944608151913, 0.08290091156959534, 0.12752382457256317, 0.08225656300783157, 0.03093692474067211, -0.02050338126718998, -0.01811671070754528, 0.0012181563070043921, -0.02606033720076084, -0.047676656395196915, 0.11177873611450195, -0.005961452145129442, -0.12548261880874634, 9.382554380908603e-34, -0.061373110860586166, -0.056368112564086914, 0.051927220076322556, -0.05456513538956642, 0.09674043208360672, 0.05231297388672829, -0.022276870906352997, -0.08407089114189148, 0.014506706967949867, 0.062407318502664566, 0.002191524486988783, 0.010518751107156277, 0.1179632693529129, -0.05034976080060005, 0.03942351043224335, -0.05048060789704323, -0.041212063282728195, -0.032056696712970734, -0.0334482416510582, -0.051196515560150146, 0.0351906456053257, 0.08404867351055145, -0.029365265741944313, 0.011133382096886635, 0.0551452711224556, -0.030503518879413605, 0.008721309714019299, 0.09360343962907791, -0.11129675805568695, 0.08421771228313446, -0.0035286007914692163, -0.020826119929552078, -0.05586246773600578, 0.048224903643131256, -0.03695285692811012, 0.05006857216358185, 0.028102491050958633, -0.028752105310559273, -0.09978083521127701, 0.007636910770088434, 0.015199242159724236, -0.04779594764113426, 0.025556404143571854, 0.024672940373420715, -0.022888341918587685, 0.006696957163512707, -0.12228095531463623, 0.030508816242218018, -0.04478845000267029, -0.006679327692836523, 0.0054798671044409275, 0.014199408702552319, -0.016605133190751076, -0.023690424859523773, 0.041106272488832474, 0.0029149369802325964, -0.020349280908703804, 0.020204374566674232, -0.03342828154563904, 0.026102641597390175, 0.02294367551803589, -0.016787590458989143, -0.03986695036292076, 0.0836830660700798, -0.002417965093627572, -0.06195502355694771, -0.060080867260694504, 0.05291729047894478, -0.11658675968647003, 0.024055564776062965, 0.03121722862124443, 0.04337923601269722, 0.031478431075811386, -0.04027664288878441, 0.0015848121838644147, -0.0025240930262953043, 0.004021575674414635, 0.01951579377055168, -0.007121115457266569, -0.01682024449110031, -0.053329940885305405, -0.017307603731751442, -0.056113600730895996, 0.03362153097987175, 0.05252835154533386, -0.05226681008934975, 0.01780814304947853, -0.032344065606594086, 0.0021802461706101894, -0.04940759763121605, -0.043901365250349045, 0.03685379773378372, -0.02606651745736599, -0.0646032765507698, -0.002224888652563095, -2.8377101557452988e-08, 0.0702742263674736, -0.08643714338541031, 0.001047855126671493, -0.014864260330796242, -0.038265425711870193, 0.029801897704601288, 0.004343472421169281, -0.008068320341408253, -0.010514665395021439, 0.059473104774951935, -0.050507865846157074, 0.028857111930847168, 0.08546317368745804, -0.05285961180925369, 0.0010835196590051055, -0.0720396637916565, 0.01336241140961647, -0.011515776626765728, -0.08001907914876938, 0.0319959782063961, 0.01618759147822857, -0.013954436406493187, 0.034064311534166336, 0.012703956104815006, -0.0743270069360733, -0.028641900047659874, 0.04408605769276619, -0.032724663615226746, -0.039512403309345245, 0.08061794936656952, -0.04115116223692894, -0.018841883167624474, -0.07927516102790833, 0.000785117270424962, 0.06910522282123566, -0.0008234892156906426, -0.10407304018735886, 0.014290365390479565, 0.01903238147497177, -0.0007734841201454401, -0.0006157898460514843, -0.007796748541295528, 0.00017627279157750309, 0.04253480210900307, -0.016549335792660713, 0.029602717608213425, -0.015276779420673847, -0.032290320843458176, 0.03352399915456772, 0.01983538642525673, 0.012639795430004597, 0.025615638121962547, -0.02844361960887909, -0.037927042692899704, 0.1017335057258606, -0.008232339285314083, 0.04037921130657196, 0.048383329063653946, -0.02974656969308853, 0.05760897323489189, 0.10272970795631409, -0.018569156527519226, -0.10103372484445572, 0.02289293333888054]"
3,18-year-old economics prodigy,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Travel grant made to 18-year-old economics prodigy, to travel to San Francisco to meet with members of the “rationality community.”",Travel,High school,-,-,-,-,"[0.08496376872062683, 0.057123780250549316, -0.018601348623633385, 0.07028471678495407, -0.010926690883934498, 0.03272320702672005, 0.1065453588962555, 0.011735515668988228, -0.02670854516327381, -0.020764857530593872, -0.0353035070002079, -0.027677029371261597, -0.07010281831026077, 0.043170265853405, -0.03650902584195137, 0.0869591161608696, -0.010240279138088226, -0.08263212442398071, 0.007610568776726723, -0.022761857137084007, 0.00590210035443306, -0.04734757915139198, -0.07336504012346268, -0.03567352145910263, 0.0562879703938961, 0.04753595218062401, -0.0005130960489623249, 0.00030429073376581073, 0.04741906374692917, 0.11920386552810669, 0.07418264448642731, 0.11561162024736404, -0.004186028614640236, -0.008425683714449406, 0.06707435846328735, 0.07708065956830978, 0.08015699684619904, -0.005977395456284285, 0.019429584965109825, 0.02277536876499653, -0.062140680849552155, -0.006327713839709759, 0.022115156054496765, 0.040065500885248184, 0.006273697130382061, -0.10633360594511032, 0.031015124171972275, 0.004202503710985184, 0.048341911286115646, -0.055419061332941055, -0.04267915338277817, -0.053944457322359085, 0.0814492478966713, -0.04212315008044243, 0.017747465521097183, 0.1112859770655632, 0.005314536392688751, -0.012532118707895279, -0.055806949734687805, -0.04564625024795532, -0.05191868543624878, -0.097405344247818, -0.008279174566268921, 0.0012476388365030289, -0.025943279266357422, 0.008507930673658848, -0.022613564506173134, -0.0034399128053337336, 0.02374592050909996, -0.10092002898454666, 0.046030186116695404, 0.042590443044900894, -0.08886930346488953, -0.013191744685173035, 0.09436061233282089, -0.004779352806508541, 0.045635223388671875, 0.07727827876806259, 0.024093499407172203, -0.06746231764554977, 0.07701357454061508, 0.029428914189338684, -0.07180134207010269, -0.032059166580438614, -0.027107086032629013, -0.02444722317159176, -0.004220710601657629, -0.0418364480137825, 0.011148886755108833, 0.12051891535520554, 0.0013299561105668545, 0.011671717278659344, -0.01926758699119091, -0.08295822888612747, 0.01742877997457981, -0.005317287985235453, -0.00200006109662354, -0.058026909828186035, -0.0028363214805722237, 0.06678416579961777, -0.0013587106950581074, 0.10989938676357269, 0.02414800599217415, 0.0064079915173351765, -0.0161287821829319, 0.06610552221536636, 0.04723683372139931, 0.03209583833813667, 0.060702938586473465, 0.07658854871988297, -0.015103936195373535, -0.027443991973996162, 0.03297092020511627, 0.06565456092357635, -0.037604495882987976, 0.01767563633620739, -0.08908393234014511, 0.018713032826781273, -0.004510506056249142, -0.0169764906167984, 0.04436860233545303, 0.001919833943247795, -0.04352176934480667, -0.029401808977127075, -0.06602706015110016, -0.05976423621177673, -0.04193366318941116, -5.421918836683845e-33, -0.02333778701722622, 0.04024403169751167, -0.030982855707406998, 0.05864272639155388, 0.04560260847210884, 0.011792010627686977, -0.007226097397506237, -0.02243751659989357, -0.10226380825042725, -0.012614998035132885, 0.05824652314186096, 0.06853611767292023, 0.08824029564857483, 0.052648115903139114, -0.00868928711861372, 0.028581131249666214, -0.05833859741687775, -0.02413988672196865, 0.06522966176271439, -0.014375581406056881, 0.0646577998995781, -0.06758154183626175, 0.00036535359686240554, -0.012226883322000504, 0.06704089790582657, -0.08818724751472473, -0.0350961796939373, 0.003837361466139555, 0.16429312527179718, 0.0020192302763462067, -0.11634070426225662, 0.11279036849737167, -0.02127120830118656, -0.05719176307320595, -0.006851548328995705, 0.015479226596653461, 0.034590091556310654, -0.06231669336557388, 0.04249308630824089, -0.0717129111289978, -0.023494204506278038, 0.02377280406653881, 0.0014401634689420462, 0.06247270479798317, -0.006424812600016594, 0.05876292288303375, 0.11453987658023834, -0.055550139397382736, 0.01644756644964218, 0.03226466104388237, -0.1787090003490448, -0.03368997573852539, -0.020360341295599937, -0.10075414925813675, -0.03182464465498924, -0.07676326483488083, -0.07134288549423218, 0.00041994094499386847, -0.049671471118927, -0.06520328670740128, 0.06186745688319206, 0.0990041196346283, -0.023393558338284492, 0.03908391296863556, -0.04510776698589325, -0.036320485174655914, 0.0624694749712944, 0.02016729675233364, 0.06805800646543503, -0.016481706872582436, 0.024394003674387932, 0.03525928407907486, -0.0375899039208889, -0.01960194855928421, -0.08171742409467697, -0.04769312962889671, -0.013130162842571735, 0.015894349664449692, 0.0016030033584684134, 0.0006507849902845919, 0.02693796530365944, -0.033469557762145996, 0.028389574959874153, 0.027754200622439384, 0.026537692174315453, 0.09393008798360825, 0.021722007542848587, -0.027137000113725662, 0.062402330338954926, -0.10533539205789566, -0.006272385362535715, -0.06801790744066238, 0.0494999960064888, 0.012678313069045544, -0.08985110372304916, 1.0857138575618237e-33, -0.02010437659919262, -0.038977257907390594, 0.08858727663755417, -0.03503064438700676, 0.08726762235164642, -0.023038212209939957, -0.012622305192053318, -0.10058590769767761, 0.11008965969085693, 0.03855174407362938, -0.07954233884811401, 0.016039833426475525, 0.052095044404268265, -0.02795669250190258, 0.02092740498483181, -0.03478343039751053, 0.03272523730993271, 0.0027896489482373, -0.04133595898747444, -0.056886982172727585, 0.055600330233573914, 0.10681819170713425, -0.01913425512611866, -0.03853319585323334, 0.05658191442489624, 0.018174562603235245, 0.040145765990018845, -0.05135999247431755, -0.12062257528305054, 0.08846623450517654, 0.009206571616232395, 0.027671433985233307, 0.018205218017101288, -0.03881567344069481, -0.07345076650381088, 0.09699855744838715, -0.0010487247491255403, -0.01275434996932745, -0.029126979410648346, 0.020463015884160995, 0.010982029139995575, -0.06512273102998734, 0.061706189066171646, 0.005948676262050867, 0.012945899739861488, 0.012397061102092266, -0.03000612184405327, 0.0009943622862920165, 0.03539643809199333, -0.028298648074269295, -0.002310502575710416, 0.05972479283809662, 0.04352393373847008, 0.04430557042360306, -0.002630207221955061, 0.016687313094735146, -0.04941430315375328, -0.030197395011782646, 0.033928681164979935, -0.007641240023076534, -0.016706237569451332, -0.030914707109332085, -0.0009584466461092234, 0.04355306550860405, -0.04973641410470009, -0.10942047089338303, 0.015814488753676414, -0.012555100955069065, -0.028294852003455162, -9.448172932025045e-05, 0.01174019556492567, 0.04837404936552048, -0.016652174293994904, 0.03672409802675247, -0.04247976467013359, 0.02903374470770359, 0.03354617953300476, 0.07150312513113022, -0.03256605565547943, 0.032080329954624176, 0.04274061694741249, 0.024818848818540573, 0.006749263498932123, 0.000136764909257181, -0.00018482583982404321, -0.08797664940357208, -0.023408858105540276, -0.07395609468221664, -0.019557418301701546, 0.011295848526060581, -0.04492899030447006, -0.07785914838314056, -0.05876796692609787, -0.06287380307912827, -0.06694889813661575, -2.8180126676602413e-08, 0.050343096256256104, -0.03457142040133476, -0.07842297852039337, -0.032258063554763794, -0.0044388738460838795, 0.012377970851957798, -0.07661733031272888, 0.03210088238120079, -0.03787429630756378, 0.04691855236887932, -0.08281472325325012, 0.04824000224471092, 0.0017500299727544188, 0.029769718647003174, -0.005861386191099882, -0.0661599412560463, 0.017284341156482697, 0.04920201748609543, -0.06404472887516022, -0.01580355316400528, 0.036874108016490936, 0.03590881824493408, -0.0027001802809536457, -0.012082813307642937, -0.021250374615192413, -0.007204602472484112, -0.03192272409796715, -0.034624211490154266, -0.08746875822544098, -0.02920488826930523, -0.0759279727935791, 0.02398654818534851, -0.0682278573513031, -0.00894790980964899, 0.04181472212076187, -0.037740323692560196, -0.06845240294933319, -0.026854829862713814, -0.014457578770816326, 0.011710310354828835, 0.012849539518356323, 0.05953981354832649, -0.015526370145380497, 0.02130623161792755, -0.04381781071424484, 0.004844435956329107, -0.07163673639297485, 0.006313928868621588, 0.003942448645830154, 0.05914688482880592, 0.015044224448502064, 0.02215677872300148, 0.008315869607031345, -0.04587938264012337, 0.0947592556476593, -0.03522529825568199, -0.06440800428390503, -0.009078582748770714, -0.07853472977876663, 0.04062352702021599, 0.00182725687045604, 0.05476074665784836, -0.0023770297411829233, -0.044054947793483734]"
